Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
A Ashish Reddy,1991-02-24 00:00:00,Right_Hand,Right-arm medium,India
A Chandila,1983-12-05 00:00:00,Right_Hand,Right-arm offbreak,India
A Chopra,1977-09-19 00:00:00,Right_Hand,Right-arm offbreak,India
A Choudhary,,Right_hand,Left-arm fast-medium,
A Dananjaya,,Right_Hand,Right-arm offbreak,
A Flintoff,1977-12-06 00:00:00,Right_Hand,Right-arm fast-medium,England
A Hales,,Right_hand,,
A Joseph,,Right_Hand,Right-arm fast,
A Kumble,1970-10-17 00:00:00,Right_Hand,Legbreak googly,India
A Mishra,1982-11-24 00:00:00,Right_Hand,Legbreak,India
A Mithun,1989-10-25 00:00:00,Right_Hand,Right-arm medium,India
A Mukund,1990-01-06 00:00:00,Right_Hand,Legbreak googly,India
A Nehra,1979-04-29 00:00:00,Right_Hand,Left-arm medium-fast,India
A Nel,1977-07-15 00:00:00,Right_Hand,Right-arm fast-medium,South Africa
A Roy,,Left_Hand,Slow left-arm orthodox,
A Singh,1981-06-21 00:00:00,Right_Hand,Right-arm medium-fast,India
A Symonds,1975-06-09 00:00:00,Right_Hand,Right-arm offbreak,Australia
A Turner,,Right_Hand,,
A Uniyal,1981-11-21 00:00:00,Right_Hand,Left-arm medium,India
A Zampa,1992-03-31 00:00:00,Right_Hand,Legbreak googly,Australia
AA Bilakhia,1986-05-31 00:00:00,Right_Hand,Right-arm medium,India
AA Chavan,1985-10-28 00:00:00,Right_Hand,Slow left-arm orthodox,India
AA Jhunjhunwala,1982-12-01 00:00:00,Right_Hand,Right-arm offbreak,India
AA Kazi,1989-09-29 00:00:00,Right_Hand,Slow left-arm orthodox,India
AA Noffke,1977-04-30 00:00:00,Right_Hand,Right-arm fast-medium,Australia
AB Agarkar,1977-12-04 00:00:00,Right_Hand,Right-arm fast,India
AB Barath,1990-04-14 00:00:00,Left_Hand,Right-arm offbreak,India
AB de Villiers,1984-02-17 00:00:00,Right_Hand,Right-arm medium,South Africa
AB Dinda,1984-03-25 00:00:00,Right_Hand,Right-arm medium-fast,India
AB McDonald,1981-06-05 00:00:00,Right_Hand,Right-arm fast-medium,Australia
Abdur Razzak,1982-06-15 00:00:00,Left_Hand,Slow left-arm orthodox,Bangladesh
AC Blizzard,1984-06-27 00:00:00,Left_Hand,Left-arm medium,Australia
AC Gilchrist,1971-11-14 00:00:00,Left_Hand,Right-arm offbreak,Australia
AC Thomas,1977-02-09 00:00:00,Right_Hand,Right-arm fast-medium,England
AC Voges,1979-10-04 00:00:00,Right_Hand,Slow left-arm orthodox,Australia
AD Mascarenhas,1977-10-30 00:00:00,Right_Hand,Right-arm fast-medium,England
AD Mathews,1987-06-02 00:00:00,Right_Hand,Right-arm fast-medium,Sri Lanka
AD Nath,1993-05-10 00:00:00,Right_Hand,Right-arm medium-fast,India
AD Russell,1988-04-29 00:00:00,Right_Hand,Right-arm fast,West Indies
AF Milne,1992-04-13 00:00:00,Right_Hand,Right-arm fast,New Zealand
AG Murtaza,1990-01-01 00:00:00,Left_Hand,Slow left-arm orthodox,India
AG Paunikar,1988-04-18 00:00:00,Right_Hand,,India
AJ Finch,1986-11-17 00:00:00,Right_Hand,Slow left-arm orthodox,Australia
AJ Tye,,Right_hand,Right-arm fast-medium,
AL Menaria,1990-10-29 00:00:00,Left_Hand,Slow left-arm orthodox,India
AM Nayar,1983-10-08 00:00:00,Left_Hand,Right-arm medium,India
AM Rahane,1988-06-06 00:00:00,Right_Hand,Right-arm medium,India
AM Salvi,1981-10-20 00:00:00,Right_Hand,Right-arm medium,India
AN Ahmed,1988-11-05 00:00:00,Right_Hand,Right-arm medium-fast,India
AN Ghosh,1986-10-19 00:00:00,Right_Hand,Right-arm medium,India
Anand Rajan,1987-04-17 00:00:00,Right_Hand,Right-arm medium,India
Anirudh Singh,1980-08-02 00:00:00,Left_Hand,Right-arm medium,India
Ankit Sharma,1991-04-20 00:00:00,Left_Hand,Slow left-arm orthodox,India
Ankit Soni,,Right_hand,Legbreak,
Anureet Singh,1988-03-02 00:00:00,Right_Hand,Right-arm medium,India
AP Dole,1987-10-09 00:00:00,Right_Hand,Right-arm medium-fast,India
AP Majumdar,1984-04-30 00:00:00,Right_Hand,Legbreak googly,India
AP Tare,1987-11-07 00:00:00,Right_Hand,,India
AR Bawne,,Right_Hand,,
AR Patel,1994-01-20 00:00:00,Left_Hand,Slow left-arm orthodox,India
AS Rajpoot,1993-12-04 00:00:00,Right_Hand,Right-arm medium,India
AS Raut,1987-03-03 00:00:00,Right_Hand,Legbreak googly,India
AS Yadav,,Right_hand,,
AT Rayudu,1985-09-23 00:00:00,Right_Hand,Right-arm offbreak,India
AUK Pathan,1984-06-17 00:00:00,Right_Hand,Right-arm medium,India
AV Wankhade,1992-03-14 00:00:00,Right_Hand,,India
Avesh Khan,,Right_Hand,Right-arm fast-medium,
Azhar Mahmood,1975-02-28 00:00:00,Right_Hand,Right-arm fast-medium,Pakistan
B Akhil,1977-10-07 00:00:00,Right_Hand,Right-arm medium-fast,India
B Aparajith,1994-07-08 00:00:00,Right_Hand,Right-arm offbreak,India
B Chipli,1983-01-27 00:00:00,Right_Hand,Right-arm medium,India
B Geeves,1982-06-13 00:00:00,Right_Hand,Right-arm fast-medium,Australia
B Kumar,1990-02-05 00:00:00,Right_Hand,Right-arm medium,India
B Laughlin,1982-10-03 00:00:00,Right_Hand,Right-arm fast-medium,Australia
B Lee,1976-11-08 00:00:00,Right_Hand,Right-arm fast,Australia
B Stanlake,,Right_Hand,Right-arm fast,
B Sumanth,1988-05-10 00:00:00,Right_Hand,Right-arm medium-fast,India
BA Bhatt,1990-05-13 00:00:00,Left_Hand,Slow left-arm orthodox,India
BA Stokes,,Left_Hand,Right-arm fast-medium,
Basil Thampi,,Right_hand,Right-arm fast,
BAW Mendis,1985-03-11 00:00:00,Right_Hand,Right-arm offbreak,Sri Lanka
BB McCullum,1981-09-27 00:00:00,Right_Hand,Right-arm medium,New Zealand
BB Samantray,1988-12-14 00:00:00,Right_Hand,,India
BB Sran,1992-12-10 00:00:00,Left_Hand,Left-arm medium,India
BCJ Cutting,1987-01-30 00:00:00,Right_Hand,Right-arm fast-medium,Australia
BE Hendricks,1990-06-08 00:00:00,Left_Hand,Left-arm fast-medium,South Africa
Bipul Sharma,1983-09-28 00:00:00,Left_Hand,Slow left-arm orthodox,India
BJ Haddin,1977-10-23 00:00:00,Right_Hand,,Australia
BJ Hodge,1974-12-29 00:00:00,Right_Hand,Right-arm offbreak,Australia
BJ Rohrer,1981-03-26 00:00:00,Left_Hand,Right-arm offbreak,Australia
BMAJ Mendis,1983-01-15 00:00:00,Left_Hand,Right-arm offbreak,Sri Lanka
BR Dunk,1987-03-11 00:00:00,Left_Hand,Right-arm fast,Australia
BW Hilfenhaus,1983-03-15 00:00:00,Right_Hand,Right-arm fast,Australia
C de Grandhomme,,Right_hand,Legbreak,
C Ganapathy,1981-06-10 00:00:00,Right_Hand,Right-arm medium,India
C Ingram,,Left_Hand,Right-arm fast-medium,
C Madan,1982-10-15 00:00:00,Right_Hand,,India
C Munro,1987-03-11 00:00:00,Left_Hand,Right-arm medium-fast,New Zealand
C Nanda,1979-03-29 00:00:00,Right_Hand,Legbreak,India
CA Ingram,1985-07-03 00:00:00,Left_Hand,Legbreak,South Africa
CA Lynn,1990-04-10 00:00:00,Right_Hand,Slow left-arm orthodox,Australia
CA Pujara,1988-01-25 00:00:00,Right_Hand,Legbreak,India
CH Gayle,1979-09-21 00:00:00,Left_Hand,Right-arm offbreak,West Indies
CH Morris,1987-04-30 00:00:00,Right_Hand,Right-arm fast-medium,South Africa
CJ Anderson,1990-12-13 00:00:00,Left_Hand,Left-arm medium-fast,New Zealand
CJ Ferguson,1984-11-21 00:00:00,Right_Hand,Right-arm medium,Australia
CJ Jordan,1988-10-04 00:00:00,Right_Hand,Right-arm fast-medium,England
CJ McKay,1983-02-20 00:00:00,Right_Hand,Right-arm fast-medium,Australia
CK Kapugedera,1987-02-24 00:00:00,Right_Hand,Right-arm medium,Sri Lanka
CK Langeveldt,1974-12-17 00:00:00,Right_Hand,Right-arm fast-medium,England
CL White,1983-08-18 00:00:00,Right_Hand,Legbreak googly,Australia
CM Gautam,1986-03-08 00:00:00,Right_Hand,,India
CR Brathwaite,1988-07-18 00:00:00,Right_Hand,Right-arm fast-medium,West Indies
CR Woakes,,Right_hand,Right-arm fast-medium,
CRD Fernando,1979-07-19 00:00:00,Right_Hand,Right-arm fast-medium,Sri Lanka
D du Preez,1981-11-08 00:00:00,Right_Hand,Right-arm fast-medium,South Africa
D Kalyankrishna,1983-12-16 00:00:00,Right_Hand,Right-arm medium-fast,India
D Salunkhe,1982-11-12 00:00:00,Right_Hand,Legbreak,India
D Shorey,,Right_hand,,
D Short,,Left_Hand,Slow left-arm orthodox,
D Wiese,1985-05-18 00:00:00,Right_Hand,Right-arm medium-fast,South Africa
D Willey,,Right_Hand,Left-arm fast-medium,
DA Miller,1989-06-10 00:00:00,Left_Hand,Right-arm offbreak,South Africa
DA Warner,1986-10-27 00:00:00,Left_Hand,Legbreak,Australia
DAJ Bracewell,1990-09-28 00:00:00,Right_Hand,Right-arm fast-medium,New Zealand
DB Das,1986-09-22 00:00:00,Right_Hand,Legbreak googly,India
DB Ravi Teja,1987-09-05 00:00:00,Right_Hand,Legbreak googly,India
DE Bollinger,1981-07-24 00:00:00,Left_Hand,Left-arm fast-medium,Australia
DH Yagnik,1983-06-22 00:00:00,Left_Hand,,India
DJ Bravo,1983-10-07 00:00:00,Right_Hand,Right-arm medium-fast,West Indies
DJ Harris,1979-12-31 00:00:00,Right_Hand,Right-arm medium,Australia
DJ Hooda,1995-04-19 00:00:00,Right_Hand,Right-arm offbreak,India
DJ Hussey,1977-07-15 00:00:00,Right_Hand,Right-arm offbreak,Australia
DJ Jacobs,1982-11-04 00:00:00,Right_Hand,Right-arm medium,South Africa
DJ Muthuswami,1981-03-09 00:00:00,Right_Hand,Right-arm medium,India
DJ Thornely,1978-10-01 00:00:00,Right_Hand,Right-arm medium,Australia
DJG Sammy,1983-12-20 00:00:00,Right_Hand,Right-arm medium-fast,West Indies
DL Chahar,1992-08-07 00:00:00,Right_Hand,Right-arm medium,India
DL Vettori,1979-01-27 00:00:00,Left_Hand,Slow left-arm orthodox,New Zealand
DM Bravo,,Left_Hand,,
DNT Zoysa,1978-05-13 00:00:00,Left_Hand,Left-arm fast-medium,Sri Lanka
DP Nannes,1976-05-16 00:00:00,Right_Hand,Left-arm fast,Australia
DP Vijaykumar,1986-10-20 00:00:00,Right_Hand,Right-arm medium,India
DPMD Jayawardene,1977-05-27 00:00:00,Right_Hand,Right-arm medium,Sri Lanka
DR Martyn,1971-10-21 00:00:00,Right_Hand,Right-arm medium,Australia
DR Smith,1983-04-12 00:00:00,Right_Hand,Right-arm medium,West Indies
DS Kulkarni,1988-12-10 00:00:00,Right_Hand,Right-arm medium,India
DS Lehmann,1970-02-05 00:00:00,Left_Hand,Slow left-arm orthodox,Australia
DT Christian,1983-05-04 00:00:00,Right_Hand,Right-arm fast-medium,Australia
DT Patil,1984-12-06 00:00:00,Right_Hand,,India
DW Steyn,1983-06-27 00:00:00,Right_Hand,Right-arm fast,South Africa
E Lewis,,Left_Hand,,
EJG Morgan,1986-09-10 00:00:00,Left_Hand,Right-arm medium,England
ER Dwivedi,1988-07-22 00:00:00,Right_Hand,,India
F Behardien,1983-10-09 00:00:00,Right_Hand,Right-arm fast-medium,South Africa
F du Plessis,1984-07-13 00:00:00,Right_Hand,Legbreak,South Africa
FH Edwards,1982-02-06 00:00:00,Right_Hand,Right-arm fast,West Indies
FY Fazal,1985-09-07 00:00:00,Left_Hand,Right-arm medium,India
G Gambhir,1981-10-14 00:00:00,Left_Hand,Legbreak,India
Gagandeep Singh,1981-10-03 00:00:00,Right_Hand,Right-arm medium-fast,India
GB Hogg,1971-02-06 00:00:00,Left_Hand,Slow left-arm chinaman,Australia
GC Smith,1981-02-01 00:00:00,Left_Hand,Right-arm offbreak,South Africa
GD McGrath,1970-02-09 00:00:00,Right_Hand,Right-arm fast-medium,Australia
GH Vihari,1993-10-13 00:00:00,Right_Hand,Right-arm offbreak,India
GJ Bailey,1982-09-07 00:00:00,Right_Hand,Right-arm medium,Australia
GJ Maxwell,1988-10-14 00:00:00,Right_Hand,Right-arm offbreak,Australia
GR Napier,1980-01-06 00:00:00,Right_Hand,Right-arm medium,England
GS Sandhu,1993-06-14 00:00:00,Left_Hand,Right-arm fast-medium,Australia
Gurkeerat Singh,1990-06-29 00:00:00,Right_Hand,Right-arm offbreak,India
H Brar,,Left_Hand,Slow left-arm orthodox,
H Das,1986-12-10 00:00:00,Right_Hand,,India
H Gurney,,Right_Hand,Right-arm fast-medium,
H Klaasen,,Right_hand,,
H Vihari,,Right_hand,Right-arm offbreak,
H Viljoen,,Right_hand,Right-arm fast,
Harbhajan Singh,1980-07-03 00:00:00,Right_Hand,Right-arm offbreak,India
Harmeet Singh,1992-09-07 00:00:00,Left_Hand,Slow left-arm orthodox,India
Harmeet Singh (2),,Right_Hand,Right-arm fast-medium,
Harpreet Singh,1991-08-11 00:00:00,Left_Hand,Right-arm medium,India
HH Gibbs,1974-02-23 00:00:00,Right_Hand,Right-arm bowler,South Africa
HH Pandya,1993-10-11 00:00:00,Right_Hand,Right-arm medium-fast,India
HM Amla,1983-03-31 00:00:00,Right_Hand,Right-arm offbreak,South Africa
HV Patel,1990-11-23 00:00:00,Right_Hand,Right-arm medium,India
I Malhotra,1984-05-23 00:00:00,Right_Hand,Right-arm medium-fast,India
I Sharma,1988-09-02 00:00:00,Right_Hand,Right-arm fast-medium,India
I Sodhi,,Right_hand,Legbreak googly,
IC Pandey,1989-08-15 00:00:00,Right_Hand,Right-arm medium,India
IK Pathan,1984-10-27 00:00:00,Left_Hand,Left-arm medium-fast,India
Imran Tahir,1979-03-27 00:00:00,Right_Hand,Legbreak googly,India
Iqbal Abdulla,1989-12-02 00:00:00,Left_Hand,Slow left-arm orthodox,India
IR Jaggi,1989-01-27 00:00:00,Right_Hand,Legbreak googly,India
Ishan Kishan,1998-07-18 00:00:00,Left_Hand,,India
J Archer,,Right_hand,Right-arm fast,
J Arunkumar,1975-01-18 00:00:00,Right_Hand,Right-arm offbreak,India
J Bairstow,,Right_hand,,
J Behrendorff,,Right_Hand,Left-arm fast-medium,
J Botha,1982-05-02 00:00:00,Right_Hand,Right-arm offbreak,South Africa
J Dala,,,Right-arm Medium,
J Denly,,Right_hand,,
J Searles,,Right_hand,Right-arm fast-medium,
J Suchith,1994-01-16 00:00:00,Left_Hand,Slow left-arm orthodox,India
J Syed Mohammad,1983-06-03 00:00:00,Left_Hand,Slow left-arm orthodox,India
J Theron,1985-07-24 00:00:00,Right_Hand,Right-arm medium-fast,South Africa
J Yadav,1990-01-22 00:00:00,Right_Hand,Right-arm offbreak,India
JA Morkel,1981-06-10 00:00:00,Left_Hand,Right-arm medium-fast,South Africa
Jaskaran Singh,1989-09-04 00:00:00,Right_Hand,Right-arm medium,India
JC Buttler,1990-09-08 00:00:00,Right_Hand,,England
JD Ryder,1984-08-06 00:00:00,Left_Hand,Right-arm medium,New Zealand
JD Unadkat,1991-10-18 00:00:00,Right_Hand,Left-arm medium,India
JDP Oram,1978-07-28 00:00:00,Left_Hand,Right-arm fast-medium,New Zealand
JDS Neesham,1990-09-17 00:00:00,Left_Hand,Right-arm medium,New Zealand
JE Taylor,1984-06-22 00:00:00,Right_Hand,Right-arm fast,New Zealand
JEC Franklin,1980-11-07 00:00:00,Left_Hand,Left-arm medium,New Zealand
JH Kallis,1975-10-16 00:00:00,Right_Hand,Right-arm fast-medium,South Africa
JJ Bumrah,1993-12-06 00:00:00,Right_Hand,Right-arm medium,India
JJ Roy,,Right_hand,,
JJ van der Wath,1978-01-10 00:00:00,Right_Hand,Right-arm medium-fast,South Africa
JM Kemp,1977-10-02 00:00:00,Right_Hand,Right-arm fast-medium,South Africa
JO Holder,1991-11-05 00:00:00,Right_Hand,Right-arm medium-fast,West Indies
Joginder Sharma,1983-10-23 00:00:00,Right_Hand,Right-arm fast-medium,India
JP Duminy,1984-04-14 00:00:00,Left_Hand,Right-arm offbreak,South Africa
JP Faulkner,1990-04-29 00:00:00,Right_Hand,Left-arm fast-medium,Australia
JR Hopes,1978-10-24 00:00:00,Right_Hand,Right-arm medium,Australia
JW Hastings,1985-11-04 00:00:00,Right_Hand,Right-arm fast-medium,Australia
K Ahmed,,Right_hand,Left-arm fast-medium,
K Goel,1986-12-24 00:00:00,Left_Hand,Right-arm offbreak,India
K Gowtham,,Right_hand,Right-arm offbreak,
K Khejroliya,,Right_Hand,Left-arm fast-medium,
K Paul,,Right_hand,Right-arm fast-medium,
K Rabada,,Left_Hand,Right-arm fast,
K Santokie,1984-12-20 00:00:00,Left_Hand,Left-arm medium,West Indies
K Upadhyay,1986-06-18 00:00:00,Right_Hand,Right-arm medium,India
KA Pollard,1987-05-12 00:00:00,Right_Hand,Right-arm medium-fast,West Indies
KAJ Roach,1988-06-30 00:00:00,Right_Hand,Right-arm fast,West Indies
Kamran Akmal,1982-01-13 00:00:00,Right_Hand,,Pakistan
Kamran Khan,1991-03-10 00:00:00,Left_Hand,Left-arm medium-fast,India
Karanveer Singh,1987-11-08 00:00:00,Right_Hand,Legbreak googly,India
KB Arun Karthik,1986-02-15 00:00:00,Right_Hand,Legbreak googly,India
KC Cariappa,1994-04-13 00:00:00,Right_Hand,Legbreak,India
KC Sangakkara,1977-10-27 00:00:00,Left_Hand,Right-arm offbreak,Sri Lanka
KD Karthik,1985-06-01 00:00:00,Right_Hand,,India
KH Devdhar,1989-12-14 00:00:00,Right_Hand,,India
KH Pandya,1991-03-24 00:00:00,Left_Hand,Slow left-arm orthodox,India
KJ Abbott,1987-06-18 00:00:00,Right_Hand,Right-arm fast-medium,South Africa
KK Cooper,1989-02-16 00:00:00,Right_Hand,Right-arm medium,West Indies
KK Nair,1991-12-06 00:00:00,Right_Hand,Right-arm offbreak,India
KL Rahul,1992-04-18 00:00:00,Right_Hand,,India
KM Asif,,Right_Hand,Right-arm medium,
KM Jadhav,1985-03-26 00:00:00,Right_Hand,Right-arm offbreak,India
KMDN Kulasekara,1982-07-22 00:00:00,Right_Hand,Right-arm fast-medium,Sri Lanka
KP Appanna,1988-12-20 00:00:00,Right_Hand,Slow left-arm orthodox,India
KP Pietersen,1980-06-27 00:00:00,Right_Hand,Right-arm offbreak,South Africa
KS Williamson,1990-08-08 00:00:00,Right_Hand,Right-arm offbreak,New Zealand
Kuldeep Yadav,1994-12-14 00:00:00,Left_Hand,Slow left-arm chinaman,India
KV Sharma,1987-10-23 00:00:00,Left_Hand,Legbreak googly,India
KW Richardson,1991-02-12 00:00:00,Right_Hand,Right-arm fast-medium,Australia
L Ablish,1982-12-03 00:00:00,Right_Hand,Right-arm medium-fast,India
L Balaji,1981-09-27 00:00:00,Right_Hand,Right-arm medium-fast,India
L Ferguson,,Right_Hand,Right-arm fast,
L Livingstone,,Right_hand,Right-arm offbreak,
L Ngidi,,Right_Hand,Slow left-arm orthodox,
L Plunkett,,Right_hand,Right-arm fast,
L Ronchi,1981-04-23 00:00:00,Right_Hand,Right-arm fast,Australia
LA Carseldine,1975-11-17 00:00:00,Left_Hand,Legbreak,Australia
LA Pomersbach,1984-09-28 00:00:00,Left_Hand,Right-arm medium,Australia
LH Ferguson,,Right_Hand,Right-arm fast-medium,
LJ Wright,1985-03-07 00:00:00,Right_Hand,Right-arm medium-fast,England
LMP Simmons,1985-01-25 00:00:00,Right_Hand,Right-arm medium-fast,West Indies
LPC Silva,1979-12-14 00:00:00,Right_Hand,Legbreak,Sri Lanka
LR Shukla,1981-05-06 00:00:00,Right_Hand,Right-arm medium,India
LRPL Taylor,1984-03-08 00:00:00,Right_Hand,Right-arm offbreak,New Zealand
M Ali,,Left_Hand,Right-arm offbreak,
M Ashwin,1990-09-08 00:00:00,Right_Hand,Legbreak googly,India
M de Lange,1990-10-13 00:00:00,Right_Hand,Right-arm fast,South Africa
M Kaif,1980-12-01 00:00:00,Right_Hand,Right-arm offbreak,India
M Kartik,1976-09-11 00:00:00,Left_Hand,Slow left-arm orthodox,India
M Klinger,1980-07-04 00:00:00,Right_Hand,,Australia
M Lomror,,Left_Hand,Slow left-arm orthodox,
M Manhas,1979-10-12 00:00:00,Right_Hand,Right-arm offbreak,India
M Markande,,Right_hand,Legbreak googly,
