Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
M Morkel,1984-10-06 00:00:00,Left_Hand,Right-arm fast,South Africa
M Muralitharan,1972-04-17 00:00:00,Right_Hand,Right-arm offbreak,Sri Lanka
M Ntini,1977-07-06 00:00:00,Right_Hand,Right-arm fast,South Africa
M Rawat,1985-10-25 00:00:00,Right_Hand,,India
M Santner,,Left_Hand,Slow left-arm orthodox,
M Ur Rahman,,Right_hand,Right-arm offbreak,
M Vijay,1984-04-01 00:00:00,Right_Hand,Right-arm offbreak,India
M Vohra,1993-07-18 00:00:00,Right_Hand,Right-arm medium,India
M Wood,,Right_hand,Right-arm fast,
MA Agarwal,1991-02-16 00:00:00,Right_Hand,,India
MA Khote,1980-04-22 00:00:00,Right_Hand,Right-arm medium,India
MA Starc,1990-01-30 00:00:00,Left_Hand,Left-arm fast,Australia
Mandeep Singh,1991-12-18 00:00:00,Right_Hand,Right-arm medium,India
Mashrafe Mortaza,1983-10-05 00:00:00,Right_Hand,Right-arm fast-medium,Bangladesh
MB Parmar,1988-04-12 00:00:00,Right_Hand,Right-arm offbreak,India
MC Henriques,1987-02-01 00:00:00,Right_Hand,Right-arm fast-medium,Australia
MC Juneja,1990-09-12 00:00:00,Right_Hand,Right-arm offbreak,India
MD Mishra,1984-02-09 00:00:00,Right_Hand,Right-arm offbreak,India
MDKJ Perera,1990-08-17 00:00:00,Left_Hand,,Sri Lanka
MEK Hussey,1975-05-27 00:00:00,Left_Hand,Right-arm medium,Australia
MF Maharoof,1984-09-07 00:00:00,Right_Hand,Right-arm fast-medium,India
MG Johnson,1981-11-02 00:00:00,Left_Hand,Left-arm fast,Australia
MG Neser,1990-03-29 00:00:00,Right_Hand,Right-arm medium,Australia
Misbah-ul-Haq,1974-05-28 00:00:00,Right_Hand,Legbreak,Pakistan
MJ Clarke,1981-04-02 00:00:00,Right_Hand,Slow left-arm orthodox,Australia
MJ Guptill,1986-09-30 00:00:00,Right_Hand,Right-arm offbreak,New Zealand
MJ Henry,,Right_Hand,Right-arm fast,
MJ Lumb,1980-02-12 00:00:00,Left_Hand,Right-arm medium,England
MJ McClenaghan,1986-06-11 00:00:00,Left_Hand,Left-arm fast-medium,New Zealand
MK Pandey,1989-09-10 00:00:00,Right_Hand,Right-arm medium,India
MK Tiwary,1985-11-14 00:00:00,Right_Hand,Legbreak googly,India
ML Hayden,1971-10-29 00:00:00,Left_Hand,Right-arm medium,Australia
MM Patel,1983-07-12 00:00:00,Right_Hand,Right-arm medium-fast,India
MM Sharma,1988-09-18 00:00:00,Right_Hand,Right-arm medium,India
MN Samuels,1981-02-05 00:00:00,Right_Hand,Right-arm offbreak,West Indies
MN van Wyk,1979-03-20 00:00:00,Right_Hand,Slow left-arm orthodox,South Africa
Mohammad Ashraful,1984-07-07 00:00:00,Right_Hand,Right-arm offbreak,Bangladesh
Mohammad Asif,1982-12-20 00:00:00,Left_Hand,Right-arm fast-medium,Pakistan
Mohammad Hafeez,1980-10-17 00:00:00,Right_Hand,Right-arm offbreak,Pakistan
Mohammad Nabi,,Right_hand,Right-arm offbreak,
Mohammed Shami,1990-09-03 00:00:00,Right_Hand,Right-arm fast-medium,India
Mohammed Siraj,,Right_hand,Right-arm fast,
MP Stoinis,1989-08-16 00:00:00,Right_Hand,Right-arm medium,Australia
MR Marsh,1991-10-20 00:00:00,Right_Hand,Right-arm medium,Australia
MS Bisla,1984-12-27 00:00:00,Right_Hand,,India
MS Dhoni,1981-07-07 00:00:00,Right_Hand,Right-arm medium,India
MS Gony,1984-01-04 00:00:00,Right_Hand,Right-arm medium,India
MS Wade,1987-12-26 00:00:00,Left_Hand,Right-arm medium,Australia
Mustafizur Rahman,1995-09-06 00:00:00,Left_Hand,Left-arm fast-medium,Bangladesh
MV Boucher,1976-12-03 00:00:00,Right_Hand,Right-arm medium,South Africa
N Naik,,Right_hand,,
N Pooran,,Left_Hand,,
N Rana,1993-12-27 00:00:00,Left_Hand,Right-arm offbreak,India
N Saini,1988-10-28 00:00:00,Right_Hand,Right-arm fast,India
NB Singh,,Right_Hand,Right-arm fast,
ND Doshi,1978-10-06 00:00:00,Right_Hand,Slow left-arm orthodox,India
Niraj Patel,,Left_Hand,,
NJ Maddinson,1991-12-21 00:00:00,Left_Hand,Slow left-arm orthodox,Australia
NJ Rimmington,1982-11-11 00:00:00,Right_Hand,Right-arm fast-medium,Australia
NK Patel,1981-03-26 00:00:00,Left_Hand,,India
NL McCullum,1980-09-01 00:00:00,Right_Hand,Right-arm offbreak,New Zealand
NLTC Perera,1989-04-03 00:00:00,Left_Hand,Right-arm medium-fast,Sri Lanka
NM Coulter-Nile,1987-10-11 00:00:00,Right_Hand,Right-arm fast,Australia
NS Naik,1994-11-09 00:00:00,Right_Hand,,India
NV Ojha,1983-07-20 00:00:00,Right_Hand,,India
O Thomas,,Right_Hand,Right-arm fast,
OA Shah,1978-10-22 00:00:00,Right_Hand,Right-arm offbreak,England
P Amarnath,1982-06-01 00:00:00,Right_Hand,Right-arm medium,India
P Awana,1986-07-19 00:00:00,Right_Hand,Right-arm medium,India
P Chopra,,Right_hand,,
P Dharmani,1974-09-27 00:00:00,Right_Hand,,India
P Dogra,1984-11-19 00:00:00,Right_Hand,Legbreak,India
P Krishna,,Right_hand,Right-arm fast,
P Kumar,1986-10-02 00:00:00,Right_Hand,Right-arm medium,India
P Negi,1993-01-06 00:00:00,Left_Hand,Slow left-arm orthodox,India
P Parameswaran,1985-05-30 00:00:00,Right_Hand,Left-arm medium,India
P Prasanth,1985-05-22 00:00:00,Left_Hand,Slow left-arm orthodox,India
P R Barman,,Right_hand,Legbreak,
P Raj,,Right_Hand,Left-arm medium,
P Sahu,1985-08-21 00:00:00,Right_Hand,Legbreak googly,India
P Shaw,,Right_hand,,
P Suyal,1989-10-15 00:00:00,Right_Hand,Left-arm medium,India
PA Patel,1985-03-09 00:00:00,Left_Hand,,India
PA Reddy,1991-02-11 00:00:00,Right_Hand,Legbreak,India
Pankaj Singh,1985-05-06 00:00:00,Right_Hand,Right-arm medium-fast,India
Parvez Rasool,1989-02-13 00:00:00,Right_Hand,Right-arm offbreak,India
PC Valthaty,1983-12-07 00:00:00,Right_Hand,Right-arm medium,India
PD Collingwood,1976-05-26 00:00:00,Right_Hand,Right-arm medium,England
PJ Cummins,1993-05-08 00:00:00,Right_Hand,Right-arm fast,Australia
PJ Sangwan,1990-11-05 00:00:00,Right_Hand,Left-arm medium,India
PM Sarvesh Kumar,1989-04-26 00:00:00,Right_Hand,Right-arm medium,India
PP Chawla,1988-12-24 00:00:00,Left_Hand,Legbreak,India
PP Ojha,1986-09-05 00:00:00,Left_Hand,Slow left-arm orthodox,India
PR Shah,1987-11-03 00:00:00,Right_Hand,,India
PSP Handscomb,1991-04-26 00:00:00,Right_Hand,,Australia
PV Tambe,1971-10-08 00:00:00,Right_Hand,Legbreak,India
Q de Kock,1992-12-17 00:00:00,Left_Hand,,South Africa
R Ashwin,1986-09-17 00:00:00,Right_Hand,Right-arm offbreak,India
R Bhatia,1979-10-22 00:00:00,Right_Hand,Right-arm medium-fast,India
R Bhui,,Right_hand,,
R Bishnoi,1987-10-08 00:00:00,Right_Hand,Right-arm medium-fast,India
R Dhawan,1990-02-19 00:00:00,Right_Hand,Right-arm medium-fast,India
R Dravid,1973-01-11 00:00:00,Right_Hand,Right-arm offbreak,India
R McLaren,1983-02-09 00:00:00,Left_Hand,Right-arm medium-fast,South Africa
R Ninan,1985-11-19 00:00:00,Right_Hand,Right-arm offbreak,India
R Parag,,Right_hand,Legbreak,
R Rampaul,1984-10-15 00:00:00,Left_Hand,Right-arm fast-medium,West Indies
R Salam,,Right_Hand,Right-arm Fast,
R Sathish,1981-01-14 00:00:00,Right_Hand,Right-arm medium,India
R Sharma,1987-04-30 00:00:00,Right_Hand,Right-arm offbreak,India
R Shukla,1990-08-28 00:00:00,Right_Hand,Right-arm medium,India
R Singh,,Right_hand,,
R Tewatia,1993-05-20 00:00:00,Left_Hand,Legbreak,India
R Vinay Kumar,1984-02-12 00:00:00,Right_Hand,Right-arm medium,India
RA Jadeja,1988-12-06 00:00:00,Left_Hand,Slow left-arm orthodox,India
RA Shaikh,1985-06-12 00:00:00,Left_Hand,Left-arm medium,India
RA Tripathi,,Right_hand,Right-arm medium,
Rashid Khan,,Right_hand,Legbreak googly,
RD Chahar,,Right_hand,Legbreak googly,
RE Levi,1988-01-14 00:00:00,Right_Hand,Right-arm medium,South Africa
RE van der Merwe,1984-12-31 00:00:00,Right_Hand,Slow left-arm orthodox,South Africa
RG More,1992-02-02 00:00:00,Right_Hand,Right-arm medium,India
RG Sharma,1987-04-30 00:00:00,Right_Hand,Right-arm offbreak,India
RJ Harris,1979-10-11 00:00:00,Right_Hand,Right-arm fast,Australia
RJ Peterson,1979-08-04 00:00:00,Left_Hand,Slow left-arm orthodox,South Africa
RJ Quiney,1982-08-20 00:00:00,Left_Hand,Right-arm medium,Australia
RN ten Doeschate,1980-06-30 00:00:00,Right_Hand,Right-arm medium-fast,Netherlands
RP Singh,1985-12-06 00:00:00,Right_Hand,Left-arm fast-medium,India
RR Bhatkal,1985-09-01 00:00:00,Right_Hand,Right-arm medium,India
RR Bose,1979-02-27 00:00:00,Right_Hand,Right-arm fast-medium,India
RR Pant,1997-10-04 00:00:00,Left_Hand,,India
RR Powar,1978-05-20 00:00:00,Right_Hand,Right-arm offbreak,India
RR Raje,1986-09-03 00:00:00,Right_Hand,Right-arm fast-medium,India
RR Rossouw,1989-10-09 00:00:00,Left_Hand,Right-arm offbreak,South Africa
RR Sarwan,1980-06-23 00:00:00,Right_Hand,Legbreak,West Indies
RS Bopara,1985-05-04 00:00:00,Right_Hand,Right-arm medium,England
RS Gavaskar,1976-02-20 00:00:00,Left_Hand,Slow left-arm orthodox,India
RS Sodhi,1980-10-18 00:00:00,Right_Hand,Right-arm medium,India
RT Ponting,1974-12-19 00:00:00,Right_Hand,Right-arm medium,Australia
RV Gomez,1985-10-16 00:00:00,Right_Hand,Right-arm medium,India
RV Pawar,1979-09-06 00:00:00,Left_Hand,Slow left-arm orthodox,India
RV Uthappa,1985-11-11 00:00:00,Right_Hand,Right-arm medium,India
RW Price,1976-06-12 00:00:00,Right_Hand,Slow left-arm orthodox,Zimbabwea
S Anirudha,1987-04-14 00:00:00,Right_Hand,,India
S Aravind,1984-04-08 00:00:00,Left_Hand,Left-arm medium-fast,India
S Badree,1981-03-09 00:00:00,Right_Hand,Legbreak,West Indies
S Badrinath,1980-08-30 00:00:00,Right_Hand,Right-arm offbreak,India
S Chanderpaul,1974-08-16 00:00:00,Left_Hand,Legbreak,West Indies
S Curran,,Left_Hand,Left-arm medium-fast,
S Dhawan,1985-12-05 00:00:00,Left_Hand,Right-arm offbreak,India
S Dube,,Left_Hand,Right-arm fast-medium,
S Gill,,Right_hand,,
S Gopal,1993-09-04 00:00:00,Right_Hand,Legbreak,India
S Hetmyer,,Left_Hand,,
S Kaul,1990-05-19 00:00:00,Right_Hand,Right-arm medium,India
S Kaushik,1995-09-07 00:00:00,Right_Hand,Slow left-arm chinaman,India
S Kuggeleijn,,Right_Hand,Right-arm fast,
S Ladda,1986-07-10 00:00:00,Right_Hand,Legbreak,India
S Lamichhane,,Right_hand,Legbreak googly,
S Mavi,,Right_hand,Right-arm fast-medium,
S Midhun,,,Legbreak,
S Nadeem,1989-08-12 00:00:00,Right_Hand,Slow left-arm orthodox,India
S Narwal,1982-04-16 00:00:00,Left_Hand,Right-arm medium,India
S Rana,1984-09-18 00:00:00,Right_Hand,Right-arm medium-fast,India
S Randiv,1985-01-30 00:00:00,Right_Hand,Right-arm offbreak,Sri Lanka
S Rutherford,,Left_Hand,Right-arm fast-medium,
S Sharma,,Right_Hand,Right-arm fast-medium,
S Singh,,Right_hand,,
S Sohal,1987-11-10 00:00:00,Right_Hand,Legbreak,India
S Sreesanth,1983-02-06 00:00:00,Right_Hand,Right-arm fast-medium,India
S Sriram,1976-02-21 00:00:00,Left_Hand,Slow left-arm orthodox,India
S Tyagi,1987-09-17 00:00:00,Right_Hand,Right-arm medium,India
S Vidyut,1981-12-03 00:00:00,Left_Hand,Slow left-arm orthodox,India
S Warrier,,Right_Hand,Right-arm fast-medium,
SA Abbott,1992-02-29 00:00:00,Right_Hand,Right-arm fast-medium,New Zealand
SA Asnodkar,1984-03-29 00:00:00,Right_Hand,Right-arm offbreak,India
SA Yadav,1990-09-14 00:00:00,Right_Hand,Right-arm offbreak,India
Sachin Baby,1988-12-18 00:00:00,Left_Hand,Right-arm offbreak,India
Salman Butt,1984-10-07 00:00:00,Left_Hand,Right-arm offbreak,Pakistan
Sandeep Sharma,1993-05-18 00:00:00,Right_Hand,Right-arm medium,India
SB Bangar,1972-10-11 00:00:00,Right_Hand,Right-arm medium-fast,India
SB Jakati,1980-11-27 00:00:00,Left_Hand,Slow left-arm orthodox,India
SB Joshi,1970-06-06 00:00:00,Left_Hand,Slow left-arm orthodox,India
SB Styris,1975-07-10 00:00:00,Right_Hand,Right-arm medium,New Zealand
SB Wagh,1988-10-09 00:00:00,Left_Hand,Left-arm medium-fast,India
SC Ganguly,1972-07-08 00:00:00,Left_Hand,Right-arm medium,India
SD Chitnis,1987-05-06 00:00:00,Right_Hand,Right-arm offbreak,India
SD Lad,,Right_hand,,
SE Bond,1975-06-07 00:00:00,Right_Hand,Right-arm fast,New Zealand
SE Marsh,1983-07-09 00:00:00,Left_Hand,Slow left-arm orthodox,Australia
Shahid Afridi,1980-03-01 00:00:00,Right_Hand,Legbreak googly,Pakistan
Shakib Al Hasan,1987-03-24 00:00:00,Left_Hand,Slow left-arm orthodox,Bangladesh
Shivam Sharma,1993-09-09 00:00:00,Right_Hand,Right-arm offbreak,India
Shoaib Ahmed,1990-08-17 00:00:00,Right_Hand,Right-arm fast-medium,Pakistan
Shoaib Akhtar,1975-08-13 00:00:00,Right_Hand,Right-arm fast,Pakistan
Shoaib Malik,1982-02-01 00:00:00,Right_Hand,Right-arm offbreak,Pakistan
SJ Srivastava,1981-09-22 00:00:00,Right_Hand,Left-arm fast-medium,India
SK Raina,1986-11-27 00:00:00,Left_Hand,Right-arm offbreak,India
SK Trivedi,1982-09-04 00:00:00,Right_Hand,Right-arm medium,India
SK Warne,1969-09-13 00:00:00,Right_Hand,Legbreak googly,Australia
SL Malinga,1983-08-28 00:00:00,Right_Hand,Right-arm fast,Sri Lanka
SM Boland,1989-04-11 00:00:00,Right_Hand,Right-arm fast-medium,Australia
SM Harwood,1974-03-01 00:00:00,Right_Hand,Right-arm fast-medium,Australia
SM Katich,1975-08-21 00:00:00,Left_Hand,Slow left-arm chinaman,Australia
SM Pollock,1973-07-16 00:00:00,Right_Hand,Right-arm fast-medium,South Africa
SMSM Senanayake,1985-02-09 00:00:00,Right_Hand,Right-arm offbreak,Sri Lanka
SN Khan,1997-10-27 00:00:00,Right_Hand,Legbreak,India
SN Thakur,1991-10-16 00:00:00,Right_Hand,Right-arm medium,India
Sohail Tanvir,1984-12-12 00:00:00,Left_Hand,Left-arm medium-fast,Pakistan
SP Fleming,1973-04-01 00:00:00,Left_Hand,,New Zealand
SP Goswami,1989-05-18 00:00:00,Left_Hand,,India
SP Jackson,,Right_hand,,
SP Narine,1988-05-26 00:00:00,Left_Hand,Right-arm offbreak,West Indies
SPD Smith,1989-06-02 00:00:00,Right_Hand,Legbreak googly,India
SR Tendulkar,1973-04-24 00:00:00,Right_Hand,Right-arm offbreak,India
SR Watson,1981-06-17 00:00:00,Right_Hand,Right-arm fast-medium,Australia
SS Agarwal,,Right_Hand,Legbreak googly,
SS Iyer,1994-12-06 00:00:00,Right_Hand,Legbreak googly,India
SS Mundhe,1988-10-27 00:00:00,Right_Hand,Right-arm medium,India
SS Sarkar,1984-12-15 00:00:00,Right_Hand,Right-arm medium,India
SS Shaikh,1987-01-18 00:00:00,Right_Hand,Right-arm medium,India
SS Tiwary,1989-12-30 00:00:00,Left_Hand,,India
ST Jayasuriya,1969-06-30 00:00:00,Left_Hand,Slow left-arm orthodox,Sri Lanka
STR Binny,1984-06-03 00:00:00,Right_Hand,Right-arm medium,India
Sunny Gupta,1988-09-27 00:00:00,Right_Hand,Right-arm offbreak,India
Sunny Singh,1986-12-18 00:00:00,Right_Hand,Right-arm medium-fast,India
SV Samson,1994-11-11 00:00:00,Right_Hand,,India
SW Billings,1991-06-15 00:00:00,Right_Hand,,England
SW Tait,1983-02-22 00:00:00,Right_Hand,Right-arm fast,Australia
Swapnil Singh,1991-01-22 00:00:00,Right_Hand,Slow left-arm orthodox,India
T Curran,,Right_hand,Right-arm fast-medium,
T Henderson,1974-08-01 00:00:00,Right_Hand,Right-arm fast-medium,South Africa
T Kohli,1988-12-17 00:00:00,Right_Hand,Right-arm medium,India
T Mishra,1986-12-22 00:00:00,Right_Hand,Right-arm fast-medium,India
T Natarajan,,Left_Hand,Left-arm fast-medium,
T Shamsi,1990-02-18 00:00:00,Right_Hand,Slow left-arm chinaman,South Africa
T Taibu,1983-05-14 00:00:00,Right_Hand,Right-arm medium,Zimbabwea
T Thushara,1981-03-01 00:00:00,Left_Hand,Left-arm fast-medium,Sri Lanka
TA Boult,1989-07-22 00:00:00,Right_Hand,Left-arm fast-medium,New Zealand
TD Paine,1984-12-08 00:00:00,Right_Hand,Right-arm medium,Australia
Tejas Baroka,,,Legbreak googly,
TG Southee,1988-12-11 00:00:00,Right_Hand,Right-arm medium-fast,New Zealand
TL Suman,1983-12-15 00:00:00,Right_Hand,Right-arm offbreak,India
TM Dilshan,1976-10-14 00:00:00,Right_Hand,Right-arm offbreak,Sri Lanka
TM Head,1993-12-29 00:00:00,Left_Hand,Right-arm offbreak,Australia
TM Srivastava,1989-11-07 00:00:00,Left_Hand,Right-arm medium,India
TP Sudhindra,1984-04-24 00:00:00,Left_Hand,Right-arm fast,India
TR Birt,1981-12-09 00:00:00,Left_Hand,Right-arm medium,Australia
TS Mills,,Right_hand,Left-arm fast,
U Kaul,1987-12-02 00:00:00,Left_Hand,,India
UA Birla,1989-11-17 00:00:00,Right_Hand,Right-arm medium,India
UBT Chand,1993-03-26 00:00:00,Right_Hand,Right-arm offbreak,India
Umar Gul,1984-04-14 00:00:00,Right_Hand,Right-arm fast-medium,Pakistan
UT Khawaja,1986-12-18 00:00:00,Left_Hand,Right-arm medium,Australia
UT Yadav,1987-10-25 00:00:00,Right_Hand,Right-arm fast-medium,India
V Chakravarthy,,Right_Hand,Legbreak,
V Kohli,1988-11-05 00:00:00,Right_Hand,Right-arm medium,India
V Pratap Singh,1992-05-03 00:00:00,Right_Hand,Right-arm medium,India
V Sehwag,1978-10-20 00:00:00,Right_Hand,Right-arm offbreak,India
V Shankar,1991-01-26 00:00:00,Right_Hand,Right-arm medium,India
VH Zol,1994-11-23 00:00:00,Left_Hand,Right-arm offbreak,India
Vishnu Vinod,,Right_hand,,
VR Aaron,1989-10-29 00:00:00,Right_Hand,Right-arm fast,India
VRV Singh,1984-09-17 00:00:00,Right_Hand,Right-arm medium-fast,India
VS Malik,1983-05-09 00:00:00,Right_Hand,Right-arm medium,India
VS Yeligati,1985-04-23 00:00:00,Right_Hand,Right-arm offbreak,India
VVS Laxman,1974-11-01 00:00:00,Right_Hand,Right-arm offbreak,India
VY Mahesh,1987-12-21 00:00:00,Right_Hand,Right-arm medium-fast,India
W Jaffer,1978-02-16 00:00:00,Right_Hand,Right-arm offbreak,India
WA Mota,1981-09-20 00:00:00,Right_Hand,Right-arm medium,India
Washington Sundar,,Left_Hand,Right-arm offbreak,
WD Parnell,1989-07-30 00:00:00,Left_Hand,Left-arm medium-fast,South Africa
WP Saha,1984-10-24 00:00:00,Right_Hand,,India
WPUJC Vaas,1974-01-27 00:00:00,Left_Hand,Left-arm fast-medium,Sri Lanka
X Thalaivan Sargunam,1985-05-15 00:00:00,Right_Hand,Right-arm offbreak,India
Y Gnaneswara Rao,1984-08-25 00:00:00,Right_Hand,Right-arm medium,India
Y Nagar,1990-01-06 00:00:00,Right_Hand,Right-arm offbreak,India
Y Venugopal Rao,1982-02-26 00:00:00,Right_Hand,Right-arm offbreak,India
YA Abdulla,1983-01-17 00:00:00,Left_Hand,Left-arm fast-medium,India
Yashpal Singh,1981-11-27 00:00:00,Right_Hand,Right-arm medium,India
YK Pathan,1982-11-17 00:00:00,Right_Hand,Right-arm offbreak,India
Younis Khan,1977-11-29 00:00:00,Right_Hand,Right-arm medium,Pakistan
YS Chahal,1990-07-23 00:00:00,Right_Hand,Legbreak googly,India
Yuvraj Singh,1981-12-12 00:00:00,Left_Hand,Slow left-arm orthodox,India
YV Takawale,1984-11-05 00:00:00,Right_Hand,,India
Z Khan,1978-10-07 00:00:00,Right_Hand,Left-arm fast-medium,India
